0.04 0.06 0.09 0.12 0.20 
0.06 0.09 0.14 0.20 0.34 
0.03 0.05 0.07 0.10 0.17 
0.05 0.07 0.11 0.16 0.26 
0.02 0.04 0.06 0.08 0.13 
0.09 0.14 0.20 0.28 0.49 
0.04 0.06 0.09 0.13 0.22 
0.09 0.14 0.19 0.27 0.45 
0.06 0.08 0.11 0.15 0.26 
0.04 0.06 0.08 0.12 0.20 
0.11 0.16 0.22 0.31 0.52 
0.06 0.09 0.14 0.22 0.31 
0.13 0.18 0.26 0.38 0.62 
0.06 0.09 0.14 0.20 0.30 
0.12 0.16 0.25 0.35 0.60 
0.16 0.22 0.32 0.46 0.76 
